accept;payment
accept;apology
accept;present
accept;invitation
accept;challenge
accept;decision
accept;fact
accept;suggestion
accept;risk
accept;card
admire;garden
admire;talent
admire;island
admire;scenery
admire;skill
admire;strength
admire;sunset
admire;personality
admire;sunrise
admire;result
advise;parent
advise;president
advise;program
advise;customer
advise;parliament
advise;embassy
advise;player
advise;student
advise;board
advise;management
afford;car
afford;opportunity
afford;luxury
afford;lifestyle
afford;degree
afford;house
afford;tuition
afford;mansion
afford;view
afford;education
appreciate;coat
appreciate;art
appreciate;song
appreciate;difference
appreciate;value
appreciate;masterpiece
appreciate;wine
appreciate;ability
appreciate;danger
appreciate;service
attend;seminar
attend;class
attend;lecture
attend;meeting
attend;exposition
attend;party
attend;wedding
attend;conference
attend;funeral
attend;ceremony
avoid;mistake
avoid;war
avoid;alternative
avoid;argument
avoid;danger
avoid;crowd
avoid;punishment
avoid;answer
avoid;tax
avoid;hunger
bake;bread
bake;cookie
bake;biscuit
bake;pie
bake;potato
bake;roll
bake;pastry
bake;apple
bake;tart
bake;cake
boil;potato
boil;water
boil;egg
boil;cloth
boil;bean
boil;vegetable
boil;noodle
boil;rice
boil;grain
boil;herb
book;trip
book;flight
book;table
book;seat
book;hotel
book;room
book;treatment
book;ticket
book;location
book;holiday
burn;newspaper
burn;tree
burn;calorie
burn;forest
burn;fuel
burn;fat
burn;engine
burn;rope
burn;bridge
burn;flag
collect;card
collect;money
collect;coin
collect;information
collect;stamp
collect;cell
collect;data
collect;piece
collect;paper
collect;bill
deliver;flower
deliver;postcard
deliver;mail
deliver;package
deliver;message
deliver;article
deliver;letter
deliver;speech
deliver;solution
deliver;gift
describe;plan
describe;concept
describe;curve
describe;graph
describe;event
describe;person
describe;situation
describe;direction
describe;procedure
describe;feeling
destroy;glass
destroy;balance
destroy;relationship
destroy;village
destroy;city
destroy;bridge
destroy;life
destroy;building
destroy;imagination
destroy;property
develop;skill
develop;exercise
develop;framework
develop;industry
develop;product
develop;policy
develop;ability
develop;method
develop;technology
develop;strategy
discover;formula
discover;reason
discover;solution
discover;fact
discover;wonder
discover;cause
discover;tool
discover;cause
discover;knowledge
discover;plan
drop;knife
drop;key
drop;cup
drop;medicine
drop;course
drop;tissue
drop;shoe
drop;bomb
drop;hat
drop;glove
grab;seat
grab;spoon
grab;drink
grab;arm
grab;camera
grab;chip
grab;rope
grab;bottle
grab;bag
grab;snack
ignore;visitor
ignore;pain
ignore;favor
ignore;danger
ignore;expiration
ignore;option
ignore;warning
ignore;opinion
ignore;sound
ignore;truth
heat;meal
heat;building
heat;coffee
heat;lunchbox
heat;body
heat;pan
heat;pot
heat;soup
heat;floor
heat;bathroom
help;student
help;beggar
help;patient
help;animal
help;chef
help;follower
help;victim
help;environment
help;passenger
help;child
hug;dog
hug;guy
hug;person
hug;kid
hug;girl
hug;tree
hug;stranger
hug;grandparent
hug;friend
hug;pillow
hunt;wolf
hunt;bear
hunt;talent
hunt;enemy
hunt;predator
hunt;rabbit
hunt;deer
hunt;monster
hunt;animal
hunt;criminal
impress;manager
